Frame Rate:,29.9700000915
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1645,00:00:54.888,6.961146943969111,8.79761748058444,3.1713834408319075,8.914439910490984
1646,00:00:54.922,11.732076258172086,16.088488877188365,5.6888574437277875,13.418882453600105
1647,00:00:54.955,11.387554297749112,16.50566012899829,5.133539555087535,12.52346320916151
1648,00:00:54.988,5.742266684217455,7.156904041068843,2.716434118731078,7.353461892852442
1649,00:00:55.022,6.014062568557764,7.378603396077399,2.9063775174410953,7.757206792154798
1650,00:00:55.055,5.08801719977184,5.9762406212978805,2.617217322627353,6.670593655390285
1651,00:00:55.088,5.880621736650432,7.0175398183493485,2.8098262472028432,7.814499144399105
1652,00:00:55.122,5.6731714273178016,6.3877846518362515,2.8850533105173093,7.7466763195998425
1653,00:00:55.155,5.865901013557983,6.855864156904041,2.944912465446887,7.7969264183230225
1654,00:00:55.189,5.59492782238603,6.460543635645649,2.853922601026721,7.470317230485718
1655,00:00:55.222,6.009389671361503,6.890548900881927,2.8850862182440435,8.252533894958535
1656,00:00:55.255,5.536077837742969,6.685500855600895,2.735586415690404,7.187146241937607
1657,00:00:55.289,5.431464174454828,5.997729366855338,2.8703764643938396,7.426286692115308
1658,00:00:55.322,5.2352463691808175,6.031361063577728,2.6452217980781887,7.029156245886534
1659,00:00:55.355,5.9388574437277875,7.013130182966961,2.9288534948005793,7.874588653415822
1660,00:00:55.389,5.442948971085077,6.412103461892852,2.6492365407397656,7.267506910622614
1661,00:00:55.422,6.214909394059059,7.412695800974069,2.997762274582072,8.234270106621034
1662,00:00:55.455,5.663057785968145,6.7278530999078585,2.7363762011320256,7.524944056864552
1663,00:00:55.489,6.398369970602431,7.872482558904831,2.961827036988285,8.360800315914176
1664,00:00:55.522,5.902900267649511,7.216927734632091,2.694517572726076,7.797255495590365
1665,00:00:55.556,5.9302904655346405,7.0680531788864025,2.738943003817296,7.983875213900224
1666,00:00:55.589,5.65121100434382,6.604909832828748,2.6825062524680794,7.666216927734632
1667,00:00:55.622,6.384965556579352,7.673324996709227,2.833092010003949,8.648479663024878
1668,00:00:55.656,5.3832543547891705,6.551467684612347,2.5239239173357904,7.074371462419376
1669,00:00:55.689,6.054901057434953,7.444353034092405,2.80133605370541,7.919014084507042
1670,00:00:55.722,5.802092931420297,6.960905620639727,2.7864288534948005,7.658944320126365
1671,00:00:55.756,5.886610942916064,6.9096024746610505,2.8064367513492168,7.943793602737923
1672,00:00:55.789,5.137938221227677,5.881400552849809,2.610833223640911,6.921580887192313
1673,00:00:55.822,5.672063533851081,6.81663814663683,2.7022508885086216,7.497301566407793
1674,00:00:55.856,5.666074327585451,6.862643148611294,2.569106226141898,7.566473608003159
1675,00:00:55.889,5.911511122811636,7.365571936290641,2.714920363301303,7.6540410688429645
1676,00:00:55.923,5.373864683427668,6.434546531525602,2.5905291562458865,7.096518362511517
1677,00:00:55.956,5.938725812820851,7.530505462682638,2.7475319204949322,7.538140055284981
1678,00:00:55.989,5.678425694353034,6.89880874029222,2.743813347373963,7.392654995392919
1679,00:00:56.023,5.8038370409372115,6.9880215874687375,2.682868237462156,7.740621297880742
1680,00:00:56.056,6.057160721337371,7.486902724759774,2.7684941424246414,7.916085296827696
1681,00:00:56.089,6.486485893554473,8.232328550743715,2.921185994471502,8.305943135448203
1682,00:00:56.123,5.482032381203106,6.74091746742135,2.536363038041332,7.1688166381466365
1683,00:00:56.156,5.185917686806196,6.02438462551007,2.4936817164670266,7.03968671844149
1684,00:00:56.190,5.735805800535299,6.812590496248519,2.618731078057128,7.77609582730025
1685,00:00:56.223,5.953260058795139,7.335889166776359,2.6830327760958275,7.840858233513229
1686,00:00:56.256,5.483513228906148,6.839377385810188,2.4887784651836253,7.122383835724628
1687,00:00:56.290,6.112972225878636,7.756055021719099,2.749276030011847,7.833585625904963
1688,00:00:56.323,5.550787591593173,6.553244701855996,2.652329867052784,7.446788205870739
1689,00:00:56.356,6.088017199771841,7.061767803080163,2.8140055284980914,8.388278267737265
1690,00:00:56.390,5.5279715677241015,6.765729893378966,2.5672304857180466,7.250954324075293
1691,00:00:56.423,5.977732438243166,7.4498157167302885,2.7330525207318677,7.7503290772673425
1692,00:00:56.456,5.78238120310649,7.498124259576149,2.5808213768592867,7.268197972884034
1693,00:00:56.490,5.911456276600412,7.277510859549822,2.882190338291431,7.574667631959985
1694,00:00:56.523,5.426780308016323,6.312063972620772,2.805877319994735,7.162399631433461
1695,00:00:56.557,5.978566100653768,7.423884428063709,3.1249177306831646,7.386896143214427
1696,00:00:56.590,6.006778991707253,7.21077398973279,3.2591154403053837,7.5504475450835855
1697,00:00:56.623,6.358255451713396,7.454817691193893,3.5396538107147557,8.080294853231539
1698,00:00:56.657,6.277039182133298,7.104284586020798,3.62876793471107,8.098065025668026
1699,00:00:56.690,6.578090035540345,7.845234961168883,3.539127287087008,8.349907858365144
1700,00:00:56.723,5.90315256022114,6.916710543635646,3.149137817559563,7.6436093194682115
1701,00:00:56.757,6.918652099512965,7.847538502040279,3.708667895221798,9.19974990127682
1702,00:00:56.790,6.240434820762581,7.280275108595498,3.2958404633407925,8.145188890351454
1703,00:00:56.823,4.277620551972269,4.994603132815585,2.372778728445439,5.465479794655785
1704,00:00:56.857,16.426319599842042,21.048209819665658,7.136073450046071,21.0946755298144
1705,00:00:56.890,7.6443552279408555,8.918717914966434,3.991937606950112,10.022410161906016
1706,00:00:56.924,5.782074064323637,6.490884559694616,3.1686850072397,7.686652626036594
1707,00:00:56.957,7.185917686806195,7.7112017901803345,3.9137817559562986,9.932769514281953
1708,00:00:56.990,6.0034991882760735,6.561537448993024,3.313544820323812,8.135415295511386
1709,00:00:57.024,7.249495414856742,8.64087797814927,3.8576411741476897,9.249967092273266
